symbol,gross_proceeds,total_expense,offered_shares,offered_ratio_pct,existing_shares_pct,executive_total_pct,total_assets,total_liabilities,total_equity,revenue_latest,revenue_prev,net_income_latest,net_income_prev
HL,705600000.0000,26335800.0000,72000000,26.470000,0.000000,70.000000,398196512.0000,273227519.0000,124968993.0000,1080105362.0000,915509516.0000,52075543.6200,21766345.7200
HMPRO,,,,,0.000000,,,,,,,,
HPT,,,,,0.000000,,,,,,,,
HTECH,,,,,0.000000,,,,,,,,
HUMAN,720000000.0000,28198500.0000,180000000,26.470000,0.000000,43.760000,,,,,,,
HYDRO,,,,,0.000000,,,,,,,,
I2,324000000.0000,15039000.0000,120000000,28.570000,0.000000,45.140000,793527145.0000,543098404.0000,250428741.0000,943386104.0000,1366402247.0000,44978800.0000,80557305.0000
ICHI,,,,,0.000000,,,,,,,,
ICN,220800000.0000,12708890.0000,120000000,26.670000,0.000000,27.120000,438684401.0000,300690791.0000,137993610.0000,678634704.0000,,5474633.0000,
IDG,84000000.0000,9051000.0000,28000000,28.000000,0.000000,43.200000,106620691.0000,45728909.0000,60891782.0000,125773564.0000,113958174.0000,15223929.0000,11092485.0000
IFS,,,,,0.000000,,,,,,,,
IHL,,,,,0.000000,,,,,,,,
IIG,165000000.0000,9438000.0000,25000000,25.000000,0.000000,43.560000,,,,,,,
III,789600000.0000,29653462.0000,164500000,27.210000,0.000000,,,,,,,,
ILINK,,,,,0.000000,,,,,,,,
ILM,2310000000.0000,65627323.0000,105000000,20.800000,0.000000,32.600000,12282173777.0000,7709814669.0000,4572359108.0000,9767826252.0000,9478841125.0000,430951382.0000,490191503.0000
IMH,330000000.0000,32413074.0000,55000000,25.580000,0.000000,52.500000,,,,,,,
IND,99000000.0000,16301347.0000,90000000,25.710000,0.000000,62.800000,691369626.0000,532056899.0000,159312727.0000,1657042980.0000,1167507579.0000,65062898.0000,43209059.0000
INET,,,,,0.000000,,,,,,,,
INGRS,347878125.0000,55910000.0000,578442900,39.980000,54.781621,60.000000,,,,,,,
INOX,,,,,0.000000,,,,,,,,
INSET,392740000.0000,18110844.0000,146000000,26.070000,0.000000,41.840000,606732967.6000,247508978.3000,359223989.3000,1007128747.0000,523333007.5000,48707708.1400,62868992.2500
IP,322000000.0000,17517570.0000,46000000,22.330000,0.000000,50.000000,,,,,,,
IRCP,,,,,0.000000,,,,,,,,
IROYAL,377000000.0000,18787250.0000,58000000,25.220000,0.000000,65.720000,,,,,,,
IT,,,,,0.000000,,,,,,,,
ITC,19200000000.0000,475739545.0000,660000000,22.000000,9.090909,,14933793000.0000,10602320000.0000,4331473000.0000,7107870000.0000,12304693000.0000,1575845000.0000,1788997000.0000
ITEL,,,,,0.000000,,,,,,,,
ITNS,272300000.0000,18319992.0000,70000000,31.820000,0.000000,50.910000,264355335.0000,76030244.0000,188325091.0000,370952494.0000,375387743.0000,32586660.0000,28827332.0000
ITTHI,210000000.0000,12915000.0000,70000000,25.930000,0.000000,44.440000,201561828.0000,78813371.0000,122748456.9000,227888161.9000,216842369.0000,21147913.9000,15041495.0000
IVF,403000000.0000,15036500.0000,130000000,29.550000,0.000000,63.050000,260344587.0000,83016226.0000,177328361.0000,122094840.0000,64836527.0000,40983212.0000,10061234.0000
IVL,,,,,0.000000,,,,,,,,
J,,,,,0.000000,,,,,,,,
JAK,,,82709900,25.850000,0.000000,68.990000,,,,,,,
JDF,390000000.0000,19420000.0000,150000000,25.000000,0.000000,54.400000,893920538.0000,429024155.0000,464896383.0000,592176712.0000,,57201819.0000,
JKN,1120000000.0000,54737620.0000,140000000,25.930000,0.000000,59.260000,1695688663.0000,1147188091.0000,548500572.0000,846367138.0000,457234620.0000,164090606.0000,133401508.0000
JMART,,,,,0.000000,,,,,,,,
JMT,,,,,0.000000,,,,,,,,
JPARK,418000000.0000,23052827.0000,110000000,27.500000,0.000000,72.500000,347373370.0000,188266165.0000,159107205.0000,452297940.0000,241210497.0000,55052678.0000,-10986567.0000
JR,1100000000.0000,37452400.0000,200000000,26.320000,0.000000,24.610000,835541047.0000,526424893.0000,309116154.0000,848895980.0000,,60746156.0000,
JSP,805000000.0000,47016000.0000,115000000,25.270000,0.000000,32.350000,,,,,,,
JTS,,,,,0.000000,,,,,,,,
JUBILE,,,,,0.000000,,,,,,,,
K,,,,,0.000000,,,,,,,,
KASET,,,,,0.000000,,,,,,,,
KBS,,,,,0.000000,,,,,,,,
KCAR,,,,,0.000000,,,,,,,,
KCG,1317500000.0000,45155574.0000,155000000,28.400000,0.000000,11.400000,5539601093.0000,4356077612.0000,1183523481.0000,6232676505.0000,5265033625.0000,241059338.0000,303354090.0000
KCM,,,,,0.000000,,,,,,,,
KEX,8400000000.0000,269440000.0000,300000000,17.200000,0.000000,,6014206799.0000,3781044527.0000,2233162272.0000,19781925557.0000,13565348883.0000,1328552834.0000,1185100795.0000
KIAT,,,,,0.000000,,,,,,,,
